,name,x,y
294,pasta_sauce,-41.967026,-35.877277
295,russet_potatoes,7.9434147,-5.851883
296,peaches,55.40961,-14.392151
297,goat_cheese,61.614243,23.127325
298,flank_steak,-26.806805,39.349052
299,baby_spinach,-23.022024,15.607857
300,chinese_five_spice_powder,1.1460457,46.131046
301,refried_beans,-61.355553,-2.381867
302,linguine,-25.911497,-39.013107
303,yoghurt,18.494217,8.494654
304,seaweed,-9.99496,64.32968
305,pistachio,68.173325,-0.42934406
306,sliced_mushrooms,-13.77515,8.3832855
307,watercress,55.69946,26.181398
308,diced_onions,-40.0586,12.201165
309,golden_raisins,28.096855,-41.615295
310,roasted_red_peppers,-32.83109,-23.969975
311,beet,58.152546,25.843737
312,lasagna_noodles,-38.88971,-36.745884
313,monterey_jack,-65.18458,-0.58376557
314,fresh_spinach,-24.031559,15.612291
315,marinara_sauce,-42.5094,-35.843826
316,shortening,48.363525,-38.411854
317,black_olives,-54.350033,-17.906311
318,roma_tomatoes,-43.877472,5.740141
319,chopped_fresh_chives,-2.5945234,-30.865767
320,frozen_chopped_spinach,-45.535816,-34.575634
321,corn_flake,70.81273,16.343939
322,noodles,-6.4057374,52.41042
323,bananas,54.209488,-33.626614
324,thai_chile,11.936959,49.091843
325,tortillas,-66.04091,2.6269827
326,roasted_beef,66.469604,27.15714
327,red_chili_powder,20.779871,20.977306
328,porcini,-8.120289,-30.022707
329,margarine,48.244675,-40.69813
330,curry_leaves,18.223795,19.225615
331,strawberries,52.23458,-14.664146
332,cereal,71.47164,9.861864
333,yukon_gold_potatoes,7.9406877,-5.6321044
334,turnip,60.594368,28.531155
335,sauerkraut,8.036869,-15.426668
336,green_peas,-1.9902204,10.558243
337,peanut_oil,62.937576,17.73938
338,baking_potatoes,7.914209,-6.357827
339,firm_tofu,0.6711031,55.937973
340,chives,-2.574845,-31.769249
341,water_chestnuts,-5.5549874,41.625412
342,pitted_kalamata_olives,-23.951246,-16.250631
343,cannellini_beans,-13.309981,-21.965729
344,kelp,-10.530418,65.11426
345,wasabi,-9.271636,63.470795
346,vegetables,4.758793,29.577944
347,catfish,-30.574526,-4.3566766
348,mace,27.995995,14.777058
349,black_eyed_peas,-29.029339,9.186979
350,kalamata,-23.998413,-16.142776
351,palm,14.576189,44.60801
352,almonds,28.346231,-37.964005
353,lobster,48.868233,18.071365
354,chipotles_in_adobo,-66.54958,20.255146
355,self_rising_flour,41.519875,-36.19994
356,peas,-1.8160611,9.718436
357,rhubarb,62.531116,1.2552104
358,couscous,3.1922145,1.9776757
359,melon,50.136654,5.912317
360,anchovy_fillets,-21.139954,-18.277235
361,sliced_almonds,26.091307,-37.28433
362,chili,-54.665215,29.517849
363,sausages,-46.596207,-23.082748
364,guacamole,-63.47757,1.1140891
365,grits,-14.489183,-42.903496
366,snow_peas,-3.2247531,50.408096
367,taco_seasoning_mix,-62.12229,-5.131309
368,mussels,-12.069401,-4.713302
369,berry,61.690903,3.427142
370,cake_flour,43.40657,-28.713306
371,all_purpose_unbleached_flour,38.14751,-27.183813
372,penne_pasta,-27.661875,-39.94827
373,pancetta,-13.889894,-29.544544
374,arugula,-25.177948,-21.224016
375,green_olives,1.2966855,-3.3918066
376,tomato_juice,68.774376,30.88953
377,stewed_tomatoes,-42.529633,2.152426
378,grapefruit,50.958626,7.1203647
379,blackberry,62.31203,1.7411317
380,fig,71.669754,1.1470721
381,citrus,64.90613,-1.8232093
382,pinto_beans,-64.06612,4.3738675
383,spices,3.6648185,27.32459
384,jasmine,10.570651,38.69987
385,collard_greens,-28.439428,9.245166
386,provolone_cheese,71.8073,23.56176
387,slivered_almonds,27.128933,-37.53809
388,apples,30.557247,-25.57099
389,semisweet_chocolate,56.4666,-23.93539
390,roasted_peanut,71.49149,12.499535
391,ice_water,43.887543,-36.450874
392,button_mushrooms,-11.353863,9.046166
393,mussel,49.715767,18.832432
394,endive,56.110107,25.977787
395,corn_grit,71.37703,26.919071
396,sliced_black_olives,-54.45361,-17.665062
397,chinese_cabbage,57.438053,19.884676
398,sun_dried_tomatoes,-30.820547,-29.569338
399,cognac,13.54704,-32.059998
400,kidney_beans,-47.333786,-1.7219813
401,fettucine,-25.722973,-39.300747
402,wonton_wrappers,-12.512611,44.581593
403,chili_flakes,10.811419,31.910059
404,shredded_carrots,-23.782148,51.512447
405,bourbon_whiskey,63.35522,-8.370871
406,roasted_peanuts,14.940817,52.147236
407,watermelon,50.19262,6.22085
408,olives,-54.73655,-19.50904
409,chicory,57.68029,25.108263
410,poblano_chiles,-62.01857,17.893341
411,plain_flour,31.52736,-19.503128
412,_drain,-59.915478,-15.219846
413,chipotle_chile,-65.9129,20.625042
414,daikon,6.4303875,51.539528
415,mascarpone,54.27715,-21.452612
416,lima_bean,70.36617,29.78886
417,peppermint,56.378445,-21.35916
418,garbanzo_beans,4.806991,4.234365
419,polenta,-30.835064,-40.93156
420,fresh_tomatoes,-43.760063,6.5186663
421,chili_sauce,4.4133487,46.468777
422,savory,-10.204389,-33.454014
423,crme_frache,4.981127,-31.992964
424,peppercorns,8.3613405,22.904207
425,pecans,33.5914,-37.681816
426,panko_breadcrumbs,-36.237633,32.220654
427,lovage,46.28442,17.362202
428,gochujang_base,-18.462301,51.558495
429,szechwan_peppercorns,-1.434985,41.960533
430,kiwi,56.85997,4.6495204
431,queso_fresco,-61.35934,17.171879
432,bittersweet_chocolate,57.413017,-25.537289
433,parsnip,61.413357,28.352324
434,cotija,-59.93548,15.667599
435,cremini_mushrooms,-11.378375,7.4409823
436,italian_sausage,-42.44585,-39.352844
437,seasoning,-43.64025,-1.7660264
438,extra_firm_tofu,1.1474601,56.481426
439,bamboo_shoots,-5.4893327,43.383465
440,rye_flour,55.328552,8.571851
441,tofu,0.09411834,54.804207
442,salsa_verde,-62.31702,16.395905
443,sweet_paprika,-17.975971,7.0334873
444,pimentos,-22.585674,-8.242064
445,seasoning_salt,-5.9321146,-44.213966
446,seeds,21.977007,14.511093
447,caster_sugar,16.876934,31.580206
448,ice_cubes,45.84818,-4.2885523
449,allspice,22.646452,-4.0720606
450,chopped_walnuts,30.428516,-31.499025
451,dashi,-12.888253,57.849922
452,whole_peeled_tomatoes,-39.937584,3.6292443
453,thai_red_curry_paste,12.644422,40.229816
454,barbecue_sauce,-45.026016,13.963549
455,roasted_pork,68.21523,27.887655
456,chili_paste,1.6888268,52.970695
457,red_curry_paste,13.259393,40.22178
458,chillies,13.069059,31.35255
459,chile_powder,-69.700424,8.802978
460,granny_smith_apples,25.425,-22.417017
461,poblano_peppers,-58.10458,12.327799
462,gingerroot,19.675642,37.136
463,bok_choy,-3.8187418,50.67703
464,pesto,-34.387386,-35.67039
465,crawfish,-28.47651,-1.5353031
466,pizza_doughs,-32.92179,-28.330826
467,quinoa,-36.733055,24.960913
468,buckwheat,-18.775158,57.91641
469,sea_scallops,-14.542942,-5.125024
470,walnuts,29.108017,-31.081512
471,penne,-29.516977,-39.773457
472,turnips,4.9437957,-12.581076
473,fresh_chives,-2.6507683,-30.961994
474,kimchi,-18.573038,52.070377
475,sweet_chili_sauce,5.2526135,47.24439
476,popcorn,72.19253,10.682647
477,ice,45.24086,-4.8635993
478,paneer,22.00563,19.967165
479,red_lentils,6.4225044,7.9934306
480,chili_oil,-2.9983346,42.78552
481,brassica,58.143818,24.158886
482,sausage_casings,-43.38257,-40.72027
483,green_tomatoes,-5.897042,-47.58701
484,diced_green_chilies,-64.6539,-3.582215
485,frozen_pastry_puff_sheets,7.95504,-34.53631
486,beets,8.853566,-11.703297
487,curry_paste,14.709517,37.604782
488,whole_kernel_corn,-59.985027,-14.927979
489,enokidake,56.903656,18.236618
